"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"J1";"Conn_Edge_PCB_ISA8";1;"Bus_ISA_8bit";;;
2;"REF**";"Prototype Area 38x28";1;"Prototype Area 38x28";;;
3;"J2";"PinHeader_2x31_P2.54mm_Vertical";1;"Breakout";;;
4;"G***";"LOGO";1;"LOGO";;;
